latitude,longitude,local_government_area,year,severity,speed_limit,intersection,road_position_horizontal,road_wet,weather,crash_type,lighting,traffic_controls,casualties,fatalities,serious_injuries,minor_injuries,car_sedan,car_utility,car_van,car_4x4,car_station_wagon,motor_cycle,truck_small,truck_large,bus,taxi,bicycle,scooter,pedestrian,inanimate,train,tram
-39.49437142,176.9107396,Napier City,2018,property_damage,50,TRUE,straight,,rain,,darkness_not_lit,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.06207954,174.0696038,New Plymouth District,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.98860371,174.9525592,Kapiti Coast District,2018,property_damage,50,TRUE,straight,,fine,,daylight,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.12089189,174.8541463,Porirua City,2018,property_damage,100,TRUE,straight,,fine,,dawn_dusk,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.08040854,174.0966792,New Plymouth District,2018,property_damage,100,TRUE,curved_view_open,,fine,,daylight,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.14503263,175.0359318,Upper Hutt City,2018,property_damage,50,FALSE,straight,,fine,,darkness_not_lit,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.33555588,175.6189807,Palmerston North City,2018,property_damage,50,TRUE,curved_view_open,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.59131951,174.2694991,South Taranaki District,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.59131951,174.2694991,South Taranaki District,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.22700457,174.9056037,Hutt City,2018,property_damage,50,TRUE,curved_view_open,,fine,,darkness_not_lit,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.13845797,174.84113,Porirua City,2018,property_damage,50,TRUE,straight,,rain,,daylight,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.07713271,174.0340972,New Plymouth District,2018,property_damage,50,TRUE,curved_view_open,,,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.20304945,174.9058983,Hutt City,2018,property_damage,100,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.20304945,174.9058983,Hutt City,2018,property_damage,100,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.17453983,175.3848996,Rangitikei District,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.3327871,174.2820514,Stratford District,2018,property_damage,50,TRUE,straight,,fine,,darkness_not_lit,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.51132779,176.8767277,Napier City,2018,property_damage,100,TRUE,curved_view_open,,rain,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.51132779,176.8767277,Napier City,2018,property_damage,50,TRUE,curved_view_open,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.36883886,175.6094467,Palmerston North City,2018,property_damage,50,TRUE,straight,,rain,,darkness_not_lit,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.27422147,173.2808409,Nelson City,2018,property_damage,50,TRUE,straight,,fine,,darkness_not_lit,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.21334779,175.5622273,Manawatu District,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.21334779,175.5622273,Manawatu District,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.21334779,175.5622273,Manawatu District,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.21334779,175.5622273,Manawatu District,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.21334779,175.5622273,Manawatu District,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.21334779,175.5622273,Manawatu District,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.63968986,176.8390696,Hastings District,2018,property_damage,50,TRUE,straight,,rain,,daylight,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-38.64210987,178.0080729,Gisborne District,2018,property_damage,50,TRUE,straight,,rain,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-38.64210987,178.0080729,Gisborne District,2018,property_damage,50,TRUE,straight,,rain,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
